rank,avg_score,funny,think,text,synthetic_query,openalex_id,doi,publication_year,justification
1,4.5,4,5,The Ant Odometer: Stepping on Stilts and Stumps,Ants on Stilts: A Study in Altered Navigation Mechanics,https://openalex.org/W2164481380,https://doi.org/10.1126/science.1126912,2006,"The concept of ants using an 'odometer' for navigation is both humorous and fascinating, providing deep insights into animal behavior and navigation."
2,4.5,5,4,Amazon River dolphin love fetishes: From folklore to molecular forensics,Rhino Horn Grooming and Its Correlation with Unicorn Mythology,https://openalex.org/W2058682698,https://doi.org/10.1111/j.1748-7692.2008.00237.x,2008,The folklore surrounding Amazon River dolphins transforming into handsome men is absurdly humorous and invites curiosity about cultural beliefs.
3,4.5,4,5,Women's preference for dominant male odour: effects of menstrual cycle and relationship status,Dynamic Simulation of Interpersonal Magnetism Using Human Pheromone Frequencies,https://openalex.org/W2155676751,https://doi.org/10.1098/rsbl.2005.0332,2005,"The study of women's preferences for male odors based on dominance is both amusing and insightful, tapping into evolutionary psychology."
4,4.5,4,5,Shape morphing of food: Designed surface grooves induce controlled 2D-3D-4D shape changes in a pea protein-based product during drying and frying conditions,Engineering the Perfect Toothpick Density for Optimal Olive Skewering,https://openalex.org/W4410197815,https://doi.org/10.1016/j.foostr.2025.100433,2025,"The concept of morphing food is both humorous and innovative, provoking significant scientific curiosity about food design and sustainability."
5,4.5,4,5,Observational data reveal evidence and parameters of contagious yawning in the behavioral repertoire of captive-reared chimpanzees (Pan troglodytes),A Comparative Analysis of Yawning Patterns Between Cats and Their Owners,https://openalex.org/W2972677134,https://doi.org/10.1038/s41598-019-49698-6,2019,"Contagious yawning in chimpanzees is inherently funny and surprising, and the study provides valuable insights into animal behavior, making it both humorous and thought-provoking."
6,4.5,4,5,Can Superstition Create a Self-Fulfilling Prophecy? School Outcomes of Dragon Children of China,The Effect of Fortune Cookie Wisdom on College Final Examination Scores,https://openalex.org/W2749941972,https://doi.org/10.3386/w23709,2017,"The idea of 'Dragon Children' and their perceived destiny is both humorous and deeply thought-provoking, raising questions about cultural beliefs and their impact on success."
7,4.5,4,5,FoodFab: Creating Food Perception Illusions using Food 3D Printing,Assessment of Human Appetite Suppression in Response to 3D Printed Food Models,https://openalex.org/W3006627009,https://doi.org/10.1145/3313831.3376421,2020,"The concept of using 3D printing to create food perception illusions is quite humorous and innovative, provoking significant thought about food consumption and waste."
8,4.5,4,5,Where Does Time Go When You Blink?,An Ethnographic Investigation of Time Perception in Response to Sequential Rapid Blinks,https://openalex.org/W2905863100,https://doi.org/10.1177/0956797619842198,2019,"The question of where time goes when you blink is both humorous and profound, raising significant questions about perception and consciousness."
9,4.5,4,5,Morphing pasta and beyond,An Investigation into the Optimal Pasta Shape for Maximum Sauce Adhesion,https://openalex.org/W3157291276,https://doi.org/10.1126/sciadv.abf4098,2021,"The concept of morphing pasta structures is inherently funny and absurd, while also being scientifically intriguing, making it a strong candidate for both humor and thought."
10,4.5,5,4,Inside Jokes,Exploring the Decay Function of Humor in Dad Jokes: A Computational Approach,https://openalex.org/W2013580886,https://doi.org/10.1145/2783258.2783388,2015,"The study of humor in cartoon captions is amusing and thought-provoking, as it connects humor with computational models."
